epoch,loss,lr,val_loss
0,0.024484027177095413,1e-04,0.023163799196481705
1,0.022521700710058212,1e-04,0.0231401976197958
2,0.022432753816246986,1e-04,0.023121410980820656
3,0.022340137511491776,1e-04,0.02323894016444683
4,0.022316884249448776,1e-04,0.023511674255132675
5,0.021919330582022667,1e-04,0.018594572320580482
6,0.00992636103183031,1e-04,0.003581599099561572
7,0.00453205406665802,1e-04,0.0017125926679000258
8,0.0032209749333560467,1e-04,0.0010675753001123667
9,0.002716326154768467,1e-04,0.0007016364834271371
10,0.0024953752290457487,1e-04,0.0006003790185786784
11,0.002357071964070201,1e-04,0.00036644181818701327
12,0.00225781905464828,1e-04,0.0003828211920335889
13,0.002094769151881337,1e-04,0.0005532195209525526
14,0.00218368973582983,1e-04,0.00041135086212307215
15,0.0021441737189888954,1e-04,0.0003761035040952265
16,0.0021193993743509054,1e-04,0.00023948158195707947
17,0.0020501844119280577,1e-04,0.0004757174465339631
18,0.0020913935732096434,1e-04,0.0004493330779951066
19,0.002004185225814581,1e-04,0.0003133431018795818
20,0.0019954985473304987,1e-04,0.00039114392711780965
21,0.0020098963286727667,1e-04,0.00030933989910408854
22,0.0020202843006700277,1e-04,0.00031414415570907295
23,0.0020519637037068605,1e-04,0.00026478167274035513
24,0.0019838078878819942,1e-04,0.0003230989968869835
25,0.0020034632179886103,1e-04,0.00038545281859114766
26,0.001993210520595312,1e-04,0.00041999624227173626
